 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,55,13,2562,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2572,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2582,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2592,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2602,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2619,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2629,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2639,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2649,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2659,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2669,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2679,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2696,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2706,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2716,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2726,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2736,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2746,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2756,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2805,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2814,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2824,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2834,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2844,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2854,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2864,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2881,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2891,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2901,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2911,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2921,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2932,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2942,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,13,2959,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,2969,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,2979,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,2989,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,2999,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3009,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3019,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3029,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3051,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3061,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3071,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3081,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3091,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3101,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3111,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3128,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3138,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3148,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3158,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3168,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3178,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3188,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3205,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3215,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
